Source_Id,Target_Id,Type,Weight
26480,22914,Directed,20
42280,8300,Directed,16
15626,15626,Directed,15
42280,39773,Directed,13
42280,9486,Directed,11
42280,38765,Directed,11
8894,3041,Directed,10
40032,6713,Directed,10
26480,11934,Directed,10
42280,14816,Directed,10
1686,16338,Directed,10
6868,20673,Directed,10
3047,25370,Directed,10
1610,28549,Directed,10
41259,36924,Directed,10
6400,41723,Directed,10
41211,42828,Directed,10
41259,42948,Directed,10
14576,1235,Directed,9
26480,3764,Directed,9
32610,11427,Directed,9
8954,24537,Directed,9
32611,27285,Directed,9
27369,27369,Directed,9
8954,42522,Directed,9
8894,3392,Directed,8
14576,4011,Directed,8
36719,4075,Directed,8
32871,5393,Directed,8
32611,8759,Directed,8
1272,15078,Directed,8
39088,18186,Directed,8
42037,20844,Directed,8
32611,26392,Directed,8
42280,28429,Directed,8
37410,29127,Directed,8
32837,32837,Directed,8
38112,33744,Directed,8
3665,40443,Directed,8
36719,40619,Directed,8
32611,41781,Directed,8
5228,42186,Directed,8
32871,42406,Directed,8
42037,42806,Directed,8
8954,43104,Directed,8
46,46,Directed,7
26480,6625,Directed,7
42037,7428,Directed,7
14576,8044,Directed,7
8894,8476,Directed,7
8954,10412,Directed,7
23758,10986,Directed,7
32871,15533,Directed,7
32611,16504,Directed,7
42148,18001,Directed,7
40751,19447,Directed,7
41259,20903,Directed,7
26480,20942,Directed,7
8954,24751,Directed,7
1504,27274,Directed,7
8894,28291,Directed,7
6303,28549,Directed,7
42470,28549,Directed,7
32871,29763,Directed,7
23758,32194,Directed,7
36719,33500,Directed,7
8894,34292,Directed,7
8894,34448,Directed,7
36719,34761,Directed,7
42517,35708,Directed,7
8954,38353,Directed,7
32611,39064,Directed,7
40434,39233,Directed,7
42037,40576,Directed,7
12705,40606,Directed,7
23758,40964,Directed,7
6869,41150,Directed,7
41678,41167,Directed,7
1610,41284,Directed,7
32610,41298,Directed,7
32610,41470,Directed,7
43259,41487,Directed,7
26043,41538,Directed,7
32871,42168,Directed,7
3665,42387,Directed,7
8954,42534,Directed,7
32611,42713,Directed,7
32610,43201,Directed,7
32611,43377,Directed,7
23758,1422,Directed,6
21692,2816,Directed,6
3047,2907,Directed,6
32871,3995,Directed,6
32611,6089,Directed,6
42069,6314,Directed,6
33919,8144,Directed,6
35157,8333,Directed,6
32611,8468,Directed,6
36719,8552,Directed,6
39088,8715,Directed,6
32611,9069,Directed,6
32611,9421,Directed,6
23758,9959,Directed,6
36719,10391,Directed,6
13394,13394,Directed,6
6303,13399,Directed,6
23758,14164,Directed,6
42517,15287,Directed,6
1686,16259,Directed,6
6303,16378,Directed,6
32611,17069,Directed,6
41013,17612,Directed,6
40032,18406,Directed,6
14576,18462,Directed,6
32871,19189,Directed,6
32871,19986,Directed,6
2416,20741,Directed,6
39300,22689,Directed,6
32871,24073,Directed,6
41408,24713,Directed,6
32584,24775,Directed,6
23758,24883,Directed,6
32610,25295,Directed,6
41539,25422,Directed,6
23758,25989,Directed,6
43259,26208,Directed,6
6303,27104,Directed,6
32610,27285,Directed,6
6303,27591,Directed,6
29705,28034,Directed,6
8954,28088,Directed,6
40641,28465,Directed,6
40358,28549,Directed,6
26480,29306,Directed,6
1272,31508,Directed,6
31790,31790,Directed,6
36719,32271,Directed,6
39300,32860,Directed,6
8954,33361,Directed,6
36719,33911,Directed,6
1272,34084,Directed,6
36719,34270,Directed,6
42037,34338,Directed,6
37678,34378,Directed,6
39088,35076,Directed,6
32203,35828,Directed,6
42037,35889,Directed,6
42517,37732,Directed,6
42470,38047,Directed,6
8954,38355,Directed,6
43259,38496,Directed,6
6303,39325,Directed,6
8954,39347,Directed,6
3047,39359,Directed,6
40032,40188,Directed,6
26480,40292,Directed,6
43259,40396,Directed,6
2297,40410,Directed,6
33946,40466,Directed,6
1355,40473,Directed,6
41211,40540,Directed,6
43259,40632,Directed,6
32610,40663,Directed,6
36719,40752,Directed,6
32610,40783,Directed,6
32611,40787,Directed,6
40856,40856,Directed,6
39088,40999,Directed,6
36719,41089,Directed,6
40032,41178,Directed,6
42280,41262,Directed,6
1272,41419,Directed,6
41603,41603,Directed,6
42037,41651,Directed,6
32871,41702,Directed,6
43289,41850,Directed,6
41864,41864,Directed,6
32610,41971,Directed,6
36719,42041,Directed,6
32611,42145,Directed,6
36719,42492,Directed,6
42499,42499,Directed,6
37841,42637,Directed,6
32611,42703,Directed,6
23758,42705,Directed,6
42037,42818,Directed,6
40032,42922,Directed,6
32611,42937,Directed,6
32610,42954,Directed,6
32871,43002,Directed,6
6869,43013,Directed,6
33946,43064,Directed,6
23758,43068,Directed,6
1686,43085,Directed,6
43259,43245,Directed,6
1355,43258,Directed,6
36719,369,Directed,5
42914,374,Directed,5
32611,1801,Directed,5
8894,1980,Directed,5
42037,2372,Directed,5
32611,2575,Directed,5
43259,2697,Directed,5
23758,2710,Directed,5
23758,2723,Directed,5
6400,3041,Directed,5
3047,3047,Directed,5
32611,3409,Directed,5
32610,3743,Directed,5
32871,3762,Directed,5
1272,4111,Directed,5
32611,4377,Directed,5
4576,4576,Directed,5
39088,4763,Directed,5
42037,5216,Directed,5
32300,5318,Directed,5
35157,5893,Directed,5
42037,6184,Directed,5
32611,6627,Directed,5
42280,6942,Directed,5
8954,7437,Directed,5
42875,7789,Directed,5
8954,7834,Directed,5
32611,9464,Directed,5
42280,9484,Directed,5
41259,9528,Directed,5
17670,10432,Directed,5
13426,10896,Directed,5
32611,11427,Directed,5
42037,11488,Directed,5
23758,11901,Directed,5
6303,12115,Directed,5
40717,12157,Directed,5
1272,13247,Directed,5
41408,13952,Directed,5
17585,14029,Directed,5
2721,14352,Directed,5
26912,14564,Directed,5
36719,14850,Directed,5
36719,14949,Directed,5
42037,14969,Directed,5
42189,15119,Directed,5
3047,17325,Directed,5
14576,17626,Directed,5
3047,17767,Directed,5
32871,17795,Directed,5
3047,18009,Directed,5
36719,18561,Directed,5
41013,18723,Directed,5
32841,18804,Directed,5
37678,19189,Directed,5
42148,19388,Directed,5
32611,19660,Directed,5
36719,19867,Directed,5
1504,19902,Directed,5
3047,21571,Directed,5
23758,21629,Directed,5
32871,22003,Directed,5
33919,22006,Directed,5
32871,22293,Directed,5
14576,22575,Directed,5
42037,22664,Directed,5
12201,22689,Directed,5
43289,22689,Directed,5
32610,23623,Directed,5
23758,25360,Directed,5
26912,25444,Directed,5
43324,26240,Directed,5
17670,26715,Directed,5
32611,26863,Directed,5
8954,26951,Directed,5
8954,27218,Directed,5
23758,27308,Directed,5
23758,27768,Directed,5
42517,27777,Directed,5
1686,27864,Directed,5
42517,28195,Directed,5
43259,28322,Directed,5
43259,28338,Directed,5
17670,28576,Directed,5
25177,28696,Directed,5
43259,28811,Directed,5
17670,29434,Directed,5
36719,30141,Directed,5
24754,30958,Directed,5
32837,31104,Directed,5
8954,31149,Directed,5
32871,31458,Directed,5
